Plant,competitors,N_level,competitors_attempted,total_root_mass,percent_col_overall,percent_col_Sp,percent_col_Tt,total_biomass,Batch,uncontaminated,contaminated
6001,Sp/None,Low,Sp/None,0.37031000000000003,15.34496431403648,15.34496431403648,0,0.79983,FC04,TRUE,FALSE
6006,Tt/Tt,High,Tt/Tt,1.32582,19.44073381423101,0,19.44073381423101,4.18327,FC15,TRUE,FALSE
6007,Sp/None,Low,Tt/Sp,0.40474,16.714625297134997,16.714625297134997,0,0.869,FC01,FALSE,FALSE
6008,Sp/Sp,Low,Sp/Sp,0.26299,0.7219130696345316,0.7219130696345316,0,0.54406,FC06,TRUE,FALSE
6010,Tt/None,High,Tt/None,1.37848,7.062755618101061,0,7.062755618101061,4.33686,FC16,TRUE,FALSE
6011,Tt/Sp,Low,Tt/Sp,0.63773,13.032126234532866,0,13.032126234532866,1.1574799999999998,FC13,TRUE,FALSE
6012,Tt/Sp,High,Tt/Sp,0.76032,47.677865612648226,1.8774703557312253,45.80039525691699,2.34032,FC02,TRUE,FALSE
6013,Sp/None,Low,Sp/None,0.83666,0.43710165020314634,0.43710165020314634,0,1.66363,FC10,TRUE,FALSE
6014,None/None,High,None/None,0.66726,0,0,0,1.7113399999999999,FC07,TRUE,FALSE
6016,Tt/None,Low,Tt/None,0.68729,39.5873320537428,0,39.5873320537428,1.32291,FC03,TRUE,FALSE
6019,Sp/Sp,Low,Sp/Sp,0.32118,23.252480705622933,23.252480705622933,0,0.7878,FC13,TRUE,FALSE
6020,Sp/Sp,Low,Sp/Sp,0.9429799999999999,0,0,0,1.7305199999999998,FC11,TRUE,FALSE
6022,Tt/Tt,High,Tt/Tt,1.7697500000000002,40.716886026323166,0,40.716886026323166,5.19916,FC07,TRUE,FALSE
6023,Tt/Tt,High,Tt/Tt,1.1521,21.126760563380287,0,21.126760563380287,4.04501,FC14,TRUE,FALSE
6025,Tt/Sp,High,Tt/Sp,1.72692,23.946964184655187,10.566739429218206,13.380224755436977,4.78099,FC07,TRUE,FALSE
6029,Tt/Tt,Low,Tt/Tt,0.41953999999999997,1.9290307216003808,0,1.9290307216003808,1.10072,FC08,TRUE,FALSE
6030,Tt/Tt,Low,Tt/Tt,0.9347599999999999,10.666561861342554,0,10.666561861342554,1.96593,FC11,TRUE,FALSE
6031,Tt/None,Low,Tt/None,0.49872000000000005,10.694831938355254,0,10.694831938355254,0.86184,FC04,TRUE,FALSE
6032,Tt/Tt,Low,Tt/Tt,0.74749,38.22788674349385,0,38.22788674349385,1.39309,FC04,TRUE,FALSE
6033,Sp/Sp,Low,Sp/Sp,0.35241,13.341844877114587,13.341844877114587,0,0.83999,FC01,TRUE,FALSE
6035,Tt/Tt,Low,Tt/Tt,0.5968600000000001,11.605157847932412,0,11.605157847932412,1.56061,FC13,TRUE,FALSE
6036,Sp/Sp,Low,Sp/None,0.63881,0.3392513852764899,0.3392513852764899,0,1.27362,FC11,FALSE,FALSE
6038,Tt/Tt,High,Tt/Tt,2.2457,15.939278937381404,0,15.939278937381404,6.1919900000000005,FC14,TRUE,FALSE
6039,Tt/None,Low,Tt/None,0.95158,14.647463051868584,0,14.647463051868584,1.79314,FC10,TRUE,FALSE
6040,Tt/None,High,Tt/None,0.98764,74.70374466740401,0,74.70374466740401,2.1406300000000003,FC09,TRUE,FALSE
6045,Tt/Tt,Low,Tt/Tt,0.60023,35.39723722039128,0,35.39723722039128,1.17796,FC03,TRUE,FALSE
6049,Tt/None,High,Tt/None,1.3857499999999998,11.70466144947261,0,11.70466144947261,3.79955,FC02,TRUE,FALSE
6050,Sp/Sp,High,Sp/Sp,1.3070400000000002,35.33782616208744,35.33782616208744,0,2.5203599999999997,FC05,TRUE,FALSE
6053,Tt/Sp,Low,Tt/Sp,0.6322,19.093504639543177,4.853675945753033,14.239828693790146,1.32979,FC08,TRUE,FALSE
6054,Tt/None,Low,Tt/None,0.5473,16.03305785123967,0,16.03305785123967,1.07494,FC06,TRUE,FALSE
6055,Tt/Tt,High,Tt/Tt,1.08056,17.019889142484512,0,17.019889142484512,3.74581,FC09,TRUE,FALSE
6058,None/None,Low,None/None,0.56565,0,0,0,1.34219,FC13,TRUE,FALSE
6062,Sp/None,Low,Sp/Sp,0.5875600000000001,1.5666082383873796,1.5666082383873796,0,1.12896,FC03,FALSE,FALSE
6063,Sp/None,High,Sp/Sp,0.67561,10.729047577169993,10.729047577169993,0,1.44911,FC02,FALSE,FALSE
6069,Tt/None,Low,Tt/None,0.59419,3.386243386243387,0,3.386243386243387,1.20369,FC11,TRUE,FALSE
6071,Tt/Sp,Low,Tt/Sp,0.72766,29.503747738433702,3.101576634789351,26.402171103644353,1.40267,FC11,TRUE,FALSE
6072,Tt/Tt,Low,Tt/Tt,0.69543,31.38572482176514,0,31.38572482176514,1.78553,FC10,TRUE,FALSE
6074,None/None,Low,None/None,0.7074499999999999,0,0,0,1.2405899999999999,FC08,TRUE,FALSE
6075,Tt/Tt,Low,Tt/Tt,0.74612,22.670509125840535,0,22.670509125840535,1.33122,FC10,TRUE,FALSE
6077,Sp/Sp,Low,Sp/Sp,0.80593,11.187739463601533,11.187739463601533,0,1.5761500000000002,FC03,TRUE,FALSE
6078,Tt/Sp,Low,Tt/Sp,0.40114000000000005,21.9271319898572,5.004671026291206,16.922460963565996,0.7889200000000001,FC04,TRUE,FALSE
6079,Sp/None,Low,Sp/None,0.4413,5.391304347826088,5.391304347826088,0,0.89617,FC06,TRUE,FALSE
6080,Tt/Tt,Low,Tt/Tt,0.76397,27.624755099688826,0,27.624755099688826,1.26272,FC06,TRUE,FALSE
6084,Sp/Sp,Low,Sp/Sp,1.49508,29.30207778369738,29.30207778369738,0,2.64134,FC04,TRUE,FALSE
6085,Tt/Sp,Low,Tt/Sp,0.52894,38.41187863137509,1.6139444803098775,36.797934151065206,1.13925,FC06,TRUE,FALSE
6087,Tt/Tt,High,Tt/Tt,1.3504999999999998,25.624999999999996,0,25.624999999999996,5.08499,FC09,TRUE,FALSE
6090,Tt/None,High,Tt/None,1.65838,25.89916880292084,0,25.89916880292084,4.5864,FC12,TRUE,FALSE
6092,Sp/Sp,Low,Sp/Sp,0.59518,3.646685268931011,3.646685268931011,0,1.3055400000000001,FC08,TRUE,FALSE
6103,Tt/Tt,High,Tt/Tt,1.53588,22.670974690360797,0,22.670974690360797,5.81036,FC16,TRUE,FALSE
6106,Tt/Sp,High,Tt/Sp,1.20702,13.127147766323024,0,13.127147766323024,4.272530000000001,B04,TRUE,FALSE
