competitors,N_level,Plant
Sp/None,Low,6001
Tt/Tt,High,6006
Sp/None,Low,6007
Sp/Sp,Low,6008
Tt/None,High,6010
Tt/Sp,Low,6011
Tt/Sp,High,6012
Sp/None,Low,6013
None/None,High,6014
Tt/None,Low,6016
Sp/Sp,Low,6019
Sp/Sp,Low,6020
Tt/Tt,High,6022
Tt/Tt,High,6023
Tt/Sp,High,6025
Tt/Tt,Low,6029
Tt/Tt,Low,6030
Tt/None,Low,6031
Tt/Tt,Low,6032
Sp/Sp,Low,6033
Tt/Tt,Low,6035
Sp/Sp,Low,6036
Tt/Tt,High,6038
Tt/None,Low,6039
Tt/None,High,6040
Sp/Sp,High,6043
Tt/Tt,Low,6045
Tt/None,High,6049
Sp/Sp,High,6050
Tt/Sp,Low,6053
Tt/None,Low,6054
Tt/Tt,High,6055
None/None,Low,6058
Sp/None,Low,6062
Sp/None,High,6063
Tt/None,Low,6069
Tt/Sp,Low,6071
Tt/Tt,Low,6072
None/None,Low,6074
Tt/Tt,Low,6075
Sp/Sp,Low,6077
Tt/Sp,Low,6078
Sp/None,Low,6079
Tt/Tt,Low,6080
Sp/Sp,Low,6084
Tt/Sp,Low,6085
Tt/Tt,High,6087
Tt/None,High,6090
Sp/Sp,Low,6092
Tt/Tt,High,6103
Tt/Sp,High,6106
