Plant,N_level,competitors
6006,High,Tt/Tt
6008,Low,Sp/Sp
6011,Low,Tt/Sp
6012,High,Tt/Sp
6015,High,Tt/Sp
6019,Low,Sp/Sp
6020,Low,Sp/Sp
6021,Low,Tt/Tt
6022,High,Tt/Tt
6023,High,Tt/Tt
6024,High,Tt/Tt
6025,High,Tt/Sp
6026,High,Tt/Tt
6029,Low,Tt/Tt
6030,Low,Tt/Tt
6032,Low,Tt/Tt
6033,Low,Sp/Sp
6035,Low,Tt/Tt
6036,Low,Sp/Sp
6038,High,Tt/Tt
6041,High,Tt/Sp
6043,High,Sp/Sp
6044,Low,Tt/Tt
6045,Low,Tt/Tt
6050,High,Sp/Sp
6053,Low,Tt/Sp
6055,High,Tt/Tt
6064,High,Tt/Sp
6065,High,Tt/Tt
6066,High,Tt/Tt
6070,High,Tt/Tt
6071,Low,Tt/Sp
6075,Low,Tt/Tt
6077,Low,Sp/Sp
6078,Low,Tt/Sp
6080,Low,Tt/Tt
6084,Low,Sp/Sp
6085,Low,Tt/Sp
6087,High,Tt/Tt
6088,Low,Tt/Tt
6092,Low,Sp/Sp
6093,High,Tt/Tt
6094,High,Tt/Tt
6097,High,Tt/Tt
6099,High,Tt/Tt
